Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
JL9002,Monday,2015-10-19,19:45:00,21:00:00,Richmond Female Juvenile C1,Tri Cities Female Juvenile C1,Richmond Olympic Oval South,Juvenile,Black Group,League,Richmond Female,
JL9005,Sunday,2015-11-01,19:45:00,21:15:00,Surrey Female Juvenile C1,Richmond Female Juvenile C1,Surrey Sport & Leisure Centre Arena 1 Blue,Juvenile,Black Group,League,Surrey Female,
JL9006,Monday,2015-11-02,19:45:00,21:00:00,Richmond Female Juvenile C1,North Shore Winter Club Female Juvenile C1,Richmond Olympic Oval South,Juvenile,Black Group,League,Richmond Female,
JL9009,Sunday,2015-11-15,15:30:00,16:45:00,Abbotsford Female Juvenile C1,Richmond Female Juvenile C1,Matsqui Recreation Centre,Juvenile,Black Group,League,Abbotsford Female,
JL9012,Thursday,2015-11-26,21:45:00,23:00:00,Tri Cities Female Juvenile C1,Richmond Female Juvenile C1,Port Coquitlam Blue,Juvenile,Black Group,League,Tri Cities Female,
JL9015,Monday,2015-11-30,19:45:00,21:00:00,Richmond Female Juvenile C1,Surrey Female Juvenile C1,Richmond Olympic Oval South,Juvenile,Black Group,League,Richmond Female,
JL9016,Thursday,2015-12-10,21:15:00,22:30:00,North Shore Winter Club Female Juvenile C1,Richmond Female Juvenile C1,North Shore Winter Club,Juvenile,Black Group,League,North Shore Winter Club,
JL9019,Monday,2015-12-14,19:45:00,21:00:00,Richmond Female Juvenile C1,Abbotsford Female Juvenile C1,Richmond Olympic Oval South,Juvenile,Black Group,League,Richmond Female,
JL9022,Monday,2016-01-11,19:45:00,21:00:00,Richmond Female Juvenile C1,Tri Cities Female Juvenile C1,Richmond Olympic Oval South,Juvenile,Black Group,League,Richmond Female,
JL9025,Sunday,2016-01-24,19:45:00,21:15:00,Surrey Female Juvenile C1,Richmond Female Juvenile C1,Surrey Sport & Leisure Centre Arena 1 Blue,Juvenile,Black Group,League,Surrey Female,
JL9026,Monday,2016-01-25,19:45:00,21:00:00,Richmond Female Juvenile C1,North Shore Winter Club Female Juvenile C1,Richmond Olympic Oval South,Juvenile,Black Group,League,Richmond Female,
JL9029,,,,,Abbotsford Female Juvenile C1,Richmond Female Juvenile C1,,Juvenile,Black Group,League,Abbotsford Female,
