Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
PQ9300,Monday,2015-10-05,18:45:00,20:15:00,Meadow Ridge Female Peewee C1,North Shore Female Peewee C1,Planet Ice Maple Ridge 1 Cam Neely,Peewee,Black Group,Balancing,Meadow Ridge Female,
MQ9338,Monday,2015-10-05,19:00:00,20:15:00,Langley Girls Midget C1,Tri Cities Female Midget C1,Langley Twin Rinks 1,Midget,Black Group,Balancing,Langley Girls,
MQ9700,Monday,2015-10-05,19:45:00,21:15:00,South Delta Female Midget C1,Tri Cities Female Midget C2,Tilbury Ice,Midget,Red Group,Balancing,South Delta,
PQ9301,Tuesday,2015-10-06,18:45:00,20:00:00,Tri Cities Female Peewee C1,Richmond Female Peewee C1,Planet Ice Coquitlam 1 Mars,Peewee,Black Group,Balancing,Tri Cities Female,
PQ9000,Tuesday,2015-10-06,19:15:00,20:30:00,Langley Girls Peewee A1,North Shore Female Peewee A1,Langley Sportsplex 1,Peewee,Tier 1,Placement,Langley Girls,
BQ9300,Tuesday,2015-10-06,19:45:00,21:00:00,Tri Cities Female Bantam C1,Meadow Ridge Female Bantam C1,Port Moody 2,Bantam,Black Group,Balancing,Tri Cities Female,
PQ9700,Tuesday,2015-10-06,19:45:00,21:00:00,Vancouver Girls Peewee C1,Richmond Female Peewee C2,Killarney Community Centre,Peewee,Red Group,Balancing,Vancouver Girls,
MQ9300,Tuesday,2015-10-06,20:15:00,21:30:00,North Shore Female Midget C1,North Shore Winter Club Female Midget C1,Harry Jerome Rec Centre,Midget,Black Group,Balancing,North Shore Female,
MQ9301,Tuesday,2015-10-06,20:45:00,22:15:00,Abbotsford Female Midget C1,Vancouver Girls Midget C2,Abbotsford Centre Arena,Midget,Black Group,Balancing,Abbotsford Female,
MQ9000,Tuesday,2015-10-06,21:15:00,22:30:00,Vancouver Girls Midget A1,Surrey Female Midget A1,Killarney Community Centre,Midget,Tier 1,Placement,Vancouver Girls,
AQ9200,Wednesday,2015-10-07,18:00:00,19:15:00,Tri Cities Female Atom C1,Abbotsford Female Atom C1,Planet Ice Coquitlam 4 Saturn,Atom,Blue Group,Balancing,Tri Cities Female,
BQ9004,Wednesday,2015-10-07,18:30:00,19:45:00,Richmond Female Bantam A1,Surrey Female Bantam A1,Richmond Ice Centre Coliseum,Bantam,Tier 1,Placement,Richmond Female,
MQ9001,Wednesday,2015-10-07,20:15:00,21:30:00,Abbotsford Female Midget A1,Richmond Female Midget A1,Matsqui Recreation Centre,Midget,Tier 1,Placement,Abbotsford Female,
PQ9001,Thursday,2015-10-08,18:00:00,19:15:00,Surrey Female Peewee A1,Tri Cities Female Peewee A1,Surrey Sport & Leisure Centre Arena 1 Blue,Peewee,Tier 1,Placement,Surrey Female,
PQ9302,Thursday,2015-10-08,18:15:00,19:30:00,North Shore Winter Club Female Peewee C1,Langley Girls Peewee C1,North Shore Winter Club,Peewee,Black Group,Balancing,North Shore Winter Club,
PQ9701,Thursday,2015-10-08,18:15:00,19:30:00,Meadow Ridge Female Peewee C2,Surrey Female Peewee C1,Planet Ice Maple Ridge 2,Peewee,Red Group,Balancing,Meadow Ridge Female
MQ9302,Thursday,2015-10-08,18:30:00,20:00:00,Richmond Female Midget C1,Surrey Female Midget C1,Richmond Ice Centre Garage,Midget,Black Group,Balancing,Richmond Female
BQ9000,Thursday,2015-10-08,19:30:00,20:45:00,Surrey Female Bantam A1,Abbotsford Female Bantam A1,Surrey Sport & Leisure Centre Arena 1 Blue,Bantam,Tier 1,Placement,Surrey Female
PQ9702,Thursday,2015-10-08,19:30:00,21:00:00,Langley Girls Peewee C2,North Shore Female Peewee C2,Langley Sportsplex 2,Peewee,Red Group,Balancing,Langley Girls
MQ9303,Thursday,2015-10-08,19:45:00,21:00:00,Meadow Ridge Female Midget C1,Vancouver Girls Midget C1,Planet Ice Maple Ridge 2,Midget,Black Group,Balancing,Meadow Ridge Female
MQ9304,Thursday,2015-10-08,19:45:00,21:00:00,North Shore Winter Club Female Midget C1,Langley Girls Midget C1,North Shore Winter Club,Midget,Black Group,Balancing,North Shore Winter Club
MQ9305,Thursday,2015-10-08,19:45:00,21:00:00,Vancouver Girls Midget C2,Tri Cities Female Midget C1,PNE Agrodome,Midget,Black Group,Balancing,Vancouver Girls
PQ9303,Thursday,2015-10-08,19:45:00,21:00:00,North Shore Female Peewee C1,Burnaby Female Peewee C1,Harry Jerome Rec Centre,Peewee,Black Group,Balancing,North Shore Female
PQ9734,Friday,2015-10-09,18:45:00,20:00:00,Tri Cities Female Peewee C2,Abbotsford Female Peewee C1,Port Coquitlam Blue,Peewee,Red Group,Balancing,Tri Cities Female
BQ9001,Friday,2015-10-09,19:30:00,20:45:00,North Shore Female Bantam A1,Tri Cities Female Bantam A1,Ice Sports North Shore 2 Blue,Bantam,Tier 1,Placement,North Shore Female
MQ9002,Friday,2015-10-09,19:45:00,21:15:00,Surrey Female Midget A1,Western Washington Female Midget A1,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Tier 1,Placement,Surrey Female
BQ9701,Friday,2015-10-09,20:00:00,21:15:00,North Shore Female Bantam C2,Abbotsford Female Bantam C1,West Vancouver Ice Arena,Bantam,Red Group,Balancing,North Shore Female
MQ9702,Friday,2015-10-09,20:15:00,21:30:00,Tri Cities Female Midget C3,North Shore Female Midget C2,Port Coquitlam Green,Midget,Red Group,Balancing,Tri Cities Female
MQ9703,Friday,2015-10-09,20:30:00,21:45:00,Tri Cities Female Midget C2,Surrey Female Midget C2,Coquitlam Recreation,Midget,Red Group,Balancing,Tri Cities Female
PQ9013,Friday,2015-10-09,20:30:00,22:00:00,Richmond Female Peewee A1,Surrey Female Peewee A1,Minoru Arena Silver Spectrum,Peewee,Tier 1,Placement,Richmond Female
