Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
TL9000,Friday,2016-01-08,17:00:00,18:00:00,Vancouver Girls Tyke C1,Richmond Female Tyke C1,Killarney Community Centre,Tyke,Black Group,League,Vancouver Girls,
TL9001,Friday,2016-01-08,17:00:00,18:00:00,Vancouver Girls Tyke C2,Richmond Female Tyke C2,Killarney Community Centre,Tyke,Black Group,League,Vancouver Girls,
NL9021,Saturday,2016-01-09,08:30:00,09:30:00,Surrey Female Novice C1,Tri Cities Female Novice C2,Excellent Ice 2 Blue,Novice,Black Group,League,Surrey Female,
NL9527,Saturday,2016-01-09,09:00:00,10:15:00,Langley Girls Novice C1,Burnaby Female Novice C1,Langley Sportsplex 1,Novice,Red Group,League,Langley Girls,
TL9002,Saturday,2016-01-09,13:45:00,15:00:00,Tri Cities Female Tyke C1,Meadow Ridge Female Tyke C1,Port Coquitlam Green,Tyke,Black Group,League,Tri Cities Female,
TL9003,Saturday,2016-01-09,13:45:00,15:00:00,Tri Cities Female Tyke C2,North Shore Winter Club Female Tyke C1,Port Coquitlam Green,Tyke,Black Group,League,Tri Cities Female,
NL9023,Saturday,2016-01-09,18:00:00,19:00:00,Vancouver Girls Novice C3,North Shore Winter Club Female Novice C1,Burnaby Winter Club,Novice,Black Group,League,Vancouver Girls,
NL9528,Sunday,2016-01-10,08:30:00,09:30:00,Meadow Ridge Female Novice C1,Richmond Female Novice C2,Pitt Meadows Arena Volkswagen Blue,Novice,Red Group,League,Meadow Ridge Female,
NL9027,Sunday,2016-01-10,08:45:00,10:00:00,North Shore Female Novice C2,Vancouver Girls Novice C3,Ice Sports North Shore 2 Blue,Novice,Black Group,League,North Shore Female,
TL9005,Sunday,2016-01-10,09:15:00,10:30:00,North Shore Female Tyke C1,Vancouver Girls Tyke C2,Ice Sports North Shore 1 Red,Tyke,Black Group,League,North Shore Female,
TL9006,Sunday,2016-01-10,09:15:00,10:30:00,North Shore Female Tyke C2,Vancouver Girls Tyke C1,Ice Sports North Shore 1 Red,Tyke,Black Group,League,North Shore Female,
NL9530,Sunday,2016-01-10,09:45:00,10:45:00,Abbotsford Female Novice C1,Vancouver Girls Novice C2,MSA Arena - Abbotsford,Novice,Red Group,League,Abbotsford Female,
TL9004,Sunday,2016-01-10,13:30:00,14:30:00,Surrey Female Tyke C1,Abbotsford Female Tyke C1,Excellent Ice 1 Red,Tyke,Black Group,League,Surrey Female,
NL9033,Sunday,2016-01-10,16:15:00,17:30:00,Surrey Female Novice C1,Tri Cities Female Novice C1,Surrey Sport & Leisure Centre Arena 2 Purple,Novice,Black Group,League,Surrey Female,
NL9035,Thursday,2016-01-14,18:15:00,19:30:00,North Shore Female Novice C2,Surrey Female Novice C2,Harry Jerome Rec Centre,Novice,Black Group,League,North Shore Female,
NL9529,Friday,2016-01-15,18:15:00,19:30:00,Richmond Female Novice C1,North Shore Female Novice C1,Richmond Ice Centre Igloo,Novice,Red Group,League,Richmond Female,
NL9025,Saturday,2016-01-16,08:30:00,09:30:00,Surrey Female Novice C1,Vancouver Girls Novice C1,Excellent Ice 2 Blue,Novice,Black Group,League,Surrey Female,
TL9011,Saturday,2016-01-16,08:30:00,09:30:00,Meadow Ridge Female Tyke C1,Surrey Female Tyke C1,Planet Ice Maple Ridge 2,Tyke,Black Group,League,Meadow Ridge Female,
NL9531,Saturday,2016-01-16,09:00:00,10:15:00,Langley Girls Novice C1,Meadow Ridge Female Novice C1,Langley Sportsplex 1,Novice,Red Group,League,Langley Girls,
NL9026,Saturday,2016-01-16,11:00:00,12:00:00,North Shore Winter Club Female Novice C1,Tri Cities Female Novice C1,North Shore Winter Club,Novice,Black Group,League,North Shore Winter Club,
TL9007,Saturday,2016-01-16,15:15:00,16:15:00,North Shore Winter Club Female Tyke C1,Vancouver Girls Tyke C2,North Shore Winter Club,Tyke,Black Group,League,North Shore Winter Club,
NL9532,Sunday,2016-01-17,08:45:00,10:00:00,North Shore Female Novice C1,Abbotsford Female Novice C1,Ice Sports North Shore 2 Blue,Novice,Red Group,League,North Shore Female,
NL9537,Sunday,2016-01-17,09:15:00,10:15:00,Richmond Female Novice C1,Langley Girls Novice C1,Richmond Ice Centre Igloo,Novice,Red Group,League,Richmond Female,
TL9009,Sunday,2016-01-17,09:15:00,10:30:00,North Shore Female Tyke C3,Tri Cities Female Tyke C1,Ice Sports North Shore 1 Red,Tyke,Black Group,League,North Shore Female,
TL9010,Sunday,2016-01-17,09:15:00,10:30:00,North Shore Female Tyke C1,Tri Cities Female Tyke C2,Ice Sports North Shore 1 Red,Tyke,Black Group,League,North Shore Female,
