Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
PL9330,Monday,2016-01-04,18:45:00,20:15:00,Meadow Ridge Female Peewee C1,North Shore Winter Club Female Peewee C1,Planet Ice Maple Ridge 1 Cam Neely,Peewee,Black Group,League,Meadow Ridge Female,
BL9761,Monday,2016-01-04,19:00:00,20:15:00,Langley Girls Bantam C1,Burnaby Female Bantam C1,Langley Twin Rinks 1,Bantam,Red Group,League,Langley Girls,
ML9530,Monday,2016-01-04,19:45,21:15,South Delta Female Midget C1,Vancouver Girls Midget C2,Tilbury Ice,Midget,Blue Group,League,South Delta,
PL9331,Tuesday,2016-01-05,18:45:00,20:00:00,Tri Cities Female Peewee C1,North Shore Female Peewee C1,Planet Ice Coquitlam 1 Mars,Peewee,Black Group,League,Tri Cities Female,
BL9330,Tuesday,2016-01-05,19:45,21:00,Tri Cities Female Bantam C1,Richmond Female Bantam C1,Port Moody 2,Bantam,Black Group,League,Tri Cities Female,
PL9530,Tuesday,2016-01-05,19:45,21:00,Vancouver Girls Peewee C1,Surrey Female Peewee C1,Killarney Community Centre,Peewee,Blue Group,League,Vancouver Girls,
ML9330,Tuesday,2016-01-05,20:15:00,21:30:00,North Shore Female Midget C1,Richmond Female Midget C1,Harry Jerome Rec Centre,Midget,Black Group,League,North Shore Female,
AL9418,Wednesday,2016-01-06,18:00:00,19:15:00,Tri Cities Female Atom C2,Richmond Female Atom C3,Planet Ice Coquitlam 4 Saturn,Atom,Red Group,League,Tri Cities Female,
ML9735,Wednesday,2016-01-06,18:30:00,19:45:00,Richmond Female Midget C2,Tri Cities Female Midget C3,Richmond Ice Centre Coliseum,Midget,Red Group,League,Richmond Female,
AL9600,Wednesday,2016-01-06,18:45:00,20:00:00,South Delta Female Atom C1,Meadow Ridge Female Atom C2,Tilbury Ice,Atom,Purple Group,League,South Delta,
AL9013,Thursday,2016-01-07,18:15:00,19:30:00,North Shore Female Atom C1,Richmond Female Atom C1,Harry Jerome Rec Centre,Atom,Black Group,League,North Shore Female,
PL9332,Thursday,2016-01-07,18:15:00,19:30:00,North Shore Winter Club Female Peewee C1,Richmond Female Peewee C1,North Shore Winter Club,Peewee,Black Group,League,North Shore Winter Club,
PL9730,Thursday,2016-01-07,18:15:00,19:30:00,Meadow Ridge Female Peewee C2,Tri Cities Female Peewee C2,Planet Ice Maple Ridge 2,Peewee,Red Group,League,Meadow Ridge Female,
ML9332,Thursday,2016-01-07,18:30:00,20:00:00,Richmond Female Midget C1,Tri Cities Female Midget C1,Richmond Ice Centre Garage,Midget,Black Group,League,Richmond Female,
ML9730,Thursday,2016-01-07,18:30:00,19:45:00,Abbotsford Female Midget C2,Tri Cities Female Midget C2,MSA Arena - Abbotsford,Midget,Red Group,League,Abbotsford Female,
PL9531,Thursday,2016-01-07,19:30,21:00,Langley Girls Peewee C2,Langley Girls Peewee C1,Langley Sportsplex 2,Peewee,Blue Group,League,Langley Girls,
ML9333,Thursday,2016-01-07,19:45:00,21:00:00,Meadow Ridge Female Midget C1,Surrey Female Midget C1,Planet Ice Maple Ridge 2,Midget,Black Group,League,Meadow Ridge Female,
ML9531,Thursday,2016-01-07,19:45,21:00,North Shore Winter Club Female Midget C1,Vancouver Girls Midget C1,North Shore Winter Club,Midget,Blue Group,League,North Shore Winter Club,
ML9532,Thursday,2016-01-07,19:45,21:00,Vancouver Girls Midget C2,Surrey Female Midget C2,PNE Agrodome,Midget,Blue Group,League,Vancouver Girls,
PL9333,Thursday,2016-01-07,19:45:00,21:00:00,North Shore Female Peewee C1,South Delta Female Peewee C1,Harry Jerome Rec Centre,Peewee,Black Group,League,North Shore Female,
BL9331,Thursday,2016-01-07,20:00,21:15,South Delta Female Bantam C1,Abbotsford Female Bantam C1,Tilbury Ice,Bantam,Black Group,League,South Delta,
BL9742,Friday,2016-01-08,20:00:00,21:15:00,North Shore Female Bantam C2,Tri Cities Female Bantam C2,West Vancouver Ice Arena,Bantam,Red Group,League,North Shore Female,
ML9731,Friday,2016-01-08,20:15:00,21:30:00,Tri Cities Female Midget C3,Western Washington Female Midget C1,Port Coquitlam Green,Midget,Red Group,League,Tri Cities Female,
ML9732,Friday,2016-01-08,20:30:00,21:45:00,Tri Cities Female Midget C2,North Shore Female Midget C2,Coquitlam Recreation,Midget,Red Group,League,Tri Cities Female,
PL9731,Saturday,2016-01-09,08:30:00,09:45:00,Vancouver Girls Peewee C2,Meadow Ridge Female Peewee C2,Killarney Community Centre,Peewee,Red Group,League,Vancouver Girls,
ML9740,Saturday,2016-01-09,09:30:00,10:45:00,North Shore Female Midget C2,Richmond Female Midget C2,Ice Sports North Shore 1 Red,Midget,Red Group,League,North Shore Female,
BL9743,Saturday,2016-01-09,10:00:00,11:15:00,Vancouver Girls Bantam C1,Surrey Female Bantam C1,Killarney Community Centre,Bantam,Red Group,League,Vancouver Girls,
AL9230,Saturday,2016-01-09,11:15:00,12:30:00,North Shore Female Atom C2,Langley Girls Atom C1,Ice Sports North Shore 3 Green,Atom,Blue Group,League,North Shore Female,
AL9601,Saturday,2016-01-09,11:15:00,12:30:00,Langley Girls Atom C2,Surrey Female Atom C2,Langley Sportsplex 4,Atom,Purple Group,League,Langley Girls,
