Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
AL9411,Monday,2015-11-09,19:00:00,20:15:00,Langley Girls Atom C2,Richmond Female Atom C3,Langley Twin Rinks 1,Atom,Red Group,League,Langley Girls,
PL9301,Tuesday,2015-11-10,18:45:00,20:00:00,Tri Cities Female Peewee C1,North Shore Female Peewee C1,Planet Ice Coquitlam 1 Mars,Peewee,Black Group,League,Tri Cities Female,
PL9000,Tuesday,2015-11-10,19:15:00,20:30:00,Langley Girls Peewee A1,North Shore Female Peewee A1,Langley Sportsplex 1,Peewee,Tier 1,League,Langley Girls,
BL9300,Tuesday,2015-11-10,19:45:00,21:00:00,Tri Cities Female Bantam C1,Richmond Female Bantam C1,Port Moody 2,Bantam,Black Group,League,Tri Cities Female,
PL9500,Tuesday,2015-11-10,19:45:00,21:00:00,Vancouver Girls Peewee C1,Vancouver Girls Peewee C2,Killarney Community Centre,Peewee,Blue Group,League,Vancouver Girls,
ML9300,Tuesday,2015-11-10,20:15:00,21:30:00,North Shore Female Midget C1,Richmond Female Midget C1,Harry Jerome Rec Centre,Midget,Black Group,League,North Shore Female,
ML9301,Tuesday,2015-11-10,20:45:00,22:15:00,Abbotsford Female Midget C1,Meadow Ridge Female Midget C1,Abbotsford Centre Arena,Midget,Black Group,League,Abbotsford Female,
ML9000,Tuesday,2015-11-10,21:15:00,22:30:00,Vancouver Girls Midget A1,Surrey Female Midget A1,Killarney Community Centre,Midget,Tier 1,League,Vancouver Girls,
AL9400,Wednesday,2015-11-11,18:00:00,19:15:00,Tri Cities Female Atom C2,Richmond Female Atom C3,Planet Ice Coquitlam 4 Saturn,Atom,Red Group,League,Tri Cities Female,
BL9010,Wednesday,2015-11-11,18:30:00,19:45:00,Richmond Female Bantam A1,Vancouver Girls Bantam A1,Richmond Ice Centre Coliseum,Bantam,Tier 1,League,Richmond Female,
PL9326,Wednesday,2015-11-11,18:45:00,20:00:00,South Delta Female Peewee C1,Richmond Female Peewee C1,Tilbury Ice,Peewee,Black Group,League,South Delta,
AL9001,Thursday,2015-11-12,18:15:00,19:30:00,North Shore Female Atom C1,Richmond Female Atom C1,Harry Jerome Rec Centre,Atom,Black Group,League,North Shore Female,
PL9302,Thursday,2015-11-12,18:15:00,19:30:00,North Shore Winter Club Female Peewee C1,Richmond Female Peewee C1,North Shore Winter Club,Peewee,Black Group,League,North Shore Winter Club,
PL9700,Thursday,2015-11-12,18:15:00,19:30:00,Meadow Ridge Female Peewee C2,North Shore Female Peewee C2,Planet Ice Maple Ridge 2,Peewee,Red Group,League,Meadow Ridge Female,
ML9302,Thursday,2015-11-12,18:30:00,20:00:00,Richmond Female Midget C1,Tri Cities Female Midget C1,Richmond Ice Centre Garage,Midget,Black Group,League,Richmond Female,
ML9700,Thursday,2015-11-12,18:30:00,19:45:00,Abbotsford Female Midget C2,Tri Cities Female Midget C2,MSA Arena - Abbotsford,Midget,Red Group,League,Abbotsford Female
PL9501,Thursday,2015-11-12,19:30:00,21:00:00,Langley Girls Peewee C2,Surrey Female Peewee C1,Langley Sportsplex 2,Peewee,Blue Group,League,Langley Girls
ML9303,Thursday,2015-11-12,19:45:00,21:00:00,Meadow Ridge Female Midget C1,Surrey Female Midget C1,Planet Ice Maple Ridge 2,Midget,Black Group,League,Meadow Ridge Female
ML9501,Thursday,2015-11-12,19:45:00,21:00:00,North Shore Winter Club Female Midget C1,Vancouver Girls Midget C1,North Shore Winter Club,Midget,Blue Group,League,North Shore Winter Club
ML9502,Thursday,2015-11-12,19:45:00,21:00:00,Vancouver Girls Midget C2,Surrey Female Midget C2,PNE Agrodome,Midget,Blue Group,League,Vancouver Girls
PL9303,Thursday,2015-11-12,19:45:00,21:00:00,North Shore Female Peewee C1,South Delta Female Peewee C1,Harry Jerome Rec Centre,Peewee,Black Group,League,North Shore Female
BL9301,Thursday,2015-11-12,20:00:00,21:15:00,South Delta Female Bantam C1,Abbotsford Female Bantam C1,Tilbury Ice,Bantam,Black Group,League,South Delta
ML9323,Friday,2015-11-13,18:15:00,19:30:00,Richmond Female Midget C1,Abbotsford Female Midget C1,Richmond Ice Centre Igloo,Midget,Black Group,League,Richmond Female
PL9009,Friday,2015-11-13,18:45:00,20:00:00,Tri Cities Female Peewee A1,Richmond Female Peewee A1,Port Coquitlam Blue,Peewee,Tier 1,League,Tri Cities Female
BL9001,Friday,2015-11-13,19:30:00,20:45:00,North Shore Female Bantam A1,Tri Cities Female Bantam A1,Ice Sports North Shore 2 Blue,Bantam,Tier 1,League,North Shore Female
BL9302,Friday,2015-11-13,19:45:00,21:15:00,Richmond Female Bantam C1,Meadow Ridge Female Bantam C1,Richmond Ice Centre Igloo,Bantam,Black Group,League,Richmond Female
BL9700,Friday,2015-11-13,20:00:00,21:15:00,North Shore Female Bantam C2,Tri Cities Female Bantam C2,West Vancouver Ice Arena,Bantam,Red Group,League,North Shore Female
ML9701,Friday,2015-11-13,20:15:00,21:30:00,Tri Cities Female Midget C3,Western Washington Female Midget C1,Port Coquitlam Green,Midget,Red Group,League,Tri Cities Female
ML9003,Friday,2015-11-13,20:30:00,22:00:00,Richmond Female Midget A1,North Shore Female Midget A1,Minoru Arena Silver Spectrum,Midget,Tier 1,League,Richmond Female
ML9702,Friday,2015-11-13,20:30:00,21:45:00,Tri Cities Female Midget C2,North Shore Female Midget C2,Coquitlam Recreation,Midget,Red Group,League,Tri Cities Female
NL9006,Saturday,2015-11-14,08:30:00,09:30:00,Surrey Female Novice C2,Meadow Ridge Female Novice C1,Excellent Ice 2 Blue,Novice,Fraser Valley Group,League,Surrey Female
PL9502,Saturday,2015-11-14,08:30:00,09:45:00,Vancouver Girls Peewee C2,Langley Girls Peewee C1,Killarney Community Centre,Peewee,Blue Group,League,Vancouver Girls
NL9017,Saturday,2015-11-14,08:45:00,10:00:00,Abbotsford Female Novice C1,Tri Cities Female Novice C2,Abbotsford Recreation Centre,Novice,Fraser Valley Group,League,Abbotsford Female
NL9000,Saturday,2015-11-14,09:00:00,10:15:00,Langley Girls Novice C1,Tri Cities Female Novice C1,Langley Sportsplex 1,Novice,Fraser Valley Group,League,Langley Girls
AL9201,Saturday,2015-11-14,09:15:00,10:30:00,North Shore Winter Club Female Atom C1,Meadow Ridge Female Atom C1,North Shore Winter Club,Atom,Blue Group,League,North Shore Winter Club
AL9401,Saturday,2015-11-14,09:30:00,10:45:00,North Shore Female Atom C3,Langley Girls Atom C2,Ice Sports North Shore 1 Red,Atom,Red Group,League,North Shore Female
BL9701,Saturday,2015-11-14,10:00:00,11:15:00,Vancouver Girls Bantam C1,Surrey Female Bantam C1,Killarney Community Centre,Bantam,Red Group,League,Vancouver Girls
NL9500,Saturday,2015-11-14,11:00:00,12:00:00,North Shore Winter Club Female Novice C1,Richmond Female Novice C2,North Shore Winter Club,Novice,Greater Vancouver Group,League,North Shore Winter Club
PL9002,Saturday,2015-11-14,11:00:00,12:15:00,North Shore Female Peewee A1,Richmond Female Peewee A1,Ice Sports North Shore 1 Red,Peewee,Tier 1,League,North Shore Female
AL9200,Saturday,2015-11-14,11:15:00,12:30:00,Langley Girls Atom C1,Burnaby Female Atom C1,Langley Sportsplex 4,Atom,Blue Group,League,Langley Girls
